VARIABLE, PARCEL, DEPOT, VALUE,LON,LAT
X,2716,36,1269.08,-97.9001,29.3074
X,2767,52,1184.48,-98.0001,29.2874
X,2768,44,1288.6,-97.9901,29.2874
X,2769,44,1325.66,-97.9801,29.2874
X,2770,36,1191.02,-97.9601,29.2874
X,2771,52,1361.9,-97.9401,29.2874
X,2772,36,1250.28,-97.9301,29.2874
X,2773,31,1198.96,-97.9201,29.2874
X,2774,52,1250.28,-97.9101,29.2874
X,2775,36,1250.28,-97.9001,29.2874
X,2776,31,1250.28,-97.8901,29.2874
X,2777,52,1269.1,-97.8801,29.2874
X,2778,52,1192.84,-97.8701,29.2874
X,2779,52,1344.96,-97.8601,29.2874
X,2780,44,1344.96,-97.8501,29.2874
X,2781,44,1344.96,-97.8401,29.2874
X,2782,31,1344.96,-97.8301,29.2874
X,2785,36,1276.96,-97.8001,29.2874
X,2787,44,1353.96,-98.2001,29.2774
X,2838,36,1179.42,-98.0601,29.2674
X,2839,36,1034.86,-98.0401,29.2674
X,2840,36,1159.38,-98.0301,29.2674
X,2841,52,1279.34,-98.0201,29.2674
X,2842,36,1279.34,-98.0101,29.2674
X,2843,52,1238.26,-97.9901,29.2674
X,2844,44,1294.22,-97.9801,29.2674
X,2845,31,1203.54,-97.9701,29.2674
X,2846,31,1320.16,-97.9601,29.2674
X,2847,52,1198.92,-97.9501,29.2674
X,2848,52,1250.26,-97.9301,29.2674
X,2849,44,1199.7,-97.9201,29.2674
X,2850,36,1250.26,-97.9101,29.2674
X,2854,52,1250.26,-97.8701,29.2674
X,2855,31,1299.78,-97.8601,29.2674
X,2908,31,1353.88,-98.1801,29.2474
X,2909,52,1353.88,-98.1601,29.2474
X,2910,31,1353.88,-98.1501,29.2474
X,2911,52,1353.88,-98.1401,29.2474
X,2912,31,1353.88,-98.1201,29.2474
X,2913,52,1210.16,-98.1101,29.2474
X,2914,44,1210.16,-98.1001,29.2474
X,2915,36,1064.68,-98.0901,29.2474
X,2916,52,1064.68,-98.0801,29.2474
X,2917,52,1064.68,-98.0701,29.2474
X,2918,52,1033.62,-98.0601,29.2474
X,2919,36,1187.86,-98.0501,29.2474
X,2935,44,1217.5,-97.8401,29.2474
X,2936,52,1131.68,-97.8301,29.2474
X,2937,36,1217.5,-97.8201,29.2474
X,2938,52,1217.5,-97.8101,29.2474
X,2939,36,1282.1,-97.8001,29.2474
X,2941,44,1312.5,-97.7801,29.2474
X,2984,44,1217.5,-97.8301,29.2374
X,2985,31,1217.5,-97.8201,29.2374
X,2987,52,1217.5,-97.8001,29.2374
X,2988,52,1190.82,-97.7901,29.2374
X,2989,44,1312.48,-97.7801,29.2374
X,2990,31,1312.48,-97.7701,29.2374
X,2991,31,1341.68,-97.7601,29.2374
X,2993,52,1181.28,-98.3101,29.2274
X,2994,36,1178.86,-98.3001,29.2274
X,3006,44,1167.06,-98.1001,29.2274
