VARIABLE,INDEX,DEPOT,VALUE,YLT,XLN
X,2287,31,877.74,28.6977,-98.7898
X,2288,36,893.34,28.6977,-98.7798
X,2348,31,885.62,28.6877,-98.7098
X,2349,52,885.62,28.6877,-98.6998
X,2350,52,885.62,28.6877,-98.6898
X,2351,45,908.8,28.6877,-98.6798
X,2352,31,976.02,28.6877,-98.6698
X,2425,45,1042.16,28.6777,-98.4598
X,2426,36,1097.3,28.6777,-98.4498
X,2427,31,1002,28.6777,-98.4398
X,2432,36,991.86,28.6777,-98.3898
X,2488,45,1149.18,28.6677,-98.3398
X,2489,3,1082.3,28.6677,-98.3298
X,2491,45,1098.12,28.6677,-98.2998
X,2493,3,1050.58,28.6677,-98.2798
X,2494,31,864.06,28.6677,-98.2698
X,2496,3,881.94,28.6577,-98.7898
X,2497,36,881.94,28.6577,-98.7798
X,2498,31,881.94,28.6577,-98.7698
X,2499,31,1015.9,28.6577,-98.7398
X,2500,11,1015.9,28.6577,-98.7298
X,2501,11,1015.9,28.6577,-98.7198
X,2502,3,908.64,28.6577,-98.7098
X,2503,36,966.06,28.6577,-98.6998
X,2504,36,908.64,28.6577,-98.6898
X,2505,31,959.04,28.6577,-98.6698
X,2557,45,1197.82,29.3974,-98.1701
X,2558,36,1181.52,29.3974,-98.1501
X,2559,31,812.7,29.3974,-98.1401
X,2560,31,1287.02,29.3974,-98.1301
X,2561,36,1118.82,29.3874,-98.1701
X,2563,31,1118.82,29.3874,-98.1501
X,2564,11,1310.62,29.3874,-98.1301
X,2565,52,1158.44,29.3774,-98.1801
X,2566,36,1163.06,29.3774,-98.1601
X,2567,31,1118.8,29.3774,-98.1501
X,2568,11,1167.1,29.3774,-98.1401
X,2570,3,1198.42,29.3774,-98.0801
X,2571,45,1178.8,29.3774,-98.0701
X,2572,36,1142.34,29.3774,-98.0601
X,2573,36,1200.46,29.3774,-98.0501
X,2574,31,1200.46,29.3774,-98.0401
X,2576,36,1380.82,29.3774,-98.0101
X,2627,36,1215.56,29.3474,-97.8601
X,2629,3,1252.54,29.3374,-98.2001
X,2630,31,1210.5,29.3374,-98.1901
X,2631,31,1175.64,29.3374,-98.1801
X,2632,45,1175.64,29.3374,-98.1701
X,2633,31,1107.76,29.3374,-98.1601
X,2634,11,1279.36,29.3374,-98.1101
X,2635,3,1199.18,29.3374,-98.0901
X,2636,36,1172.56,29.3374,-98.0701
X,2637,31,1288.62,29.3374,-98.0101
X,2638,11,1250.36,29.3374,-97.9601
X,2639,3,1396.46,29.3374,-97.9401
X,2640,3,1396.46,29.3374,-97.9301
X,2641,3,1215.42,29.3374,-97.8901
X,2642,36,1269.08,29.3374,-97.8801
X,2643,31,1238.48,29.3374,-97.8701
X,2697,36,1353.96,29.3074,-98.1801
X,2698,36,1279.36,29.3074,-98.1701
X,2699,45,1279.36,29.3074,-98.1501
X,2700,45,1279.36,29.3074,-98.1301
X,2701,36,1279.36,29.3074,-98.1101
X,2702,45,1279.36,29.3074,-98.0901
X,2703,31,1199.14,29.3074,-98.0801
X,2704,11,1159.42,29.3074,-98.0701
X,2705,45,1304.18,29.3074,-98.0601
X,2706,31,1288.6,29.3074,-98.0501
X,2707,31,1288.6,29.3074,-98.0401
X,2708,3,1288.6,29.3074,-98.0301
X,2709,3,1288.6,29.3074,-98.0201
X,2710,3,1288.6,29.3074,-98.0101
X,2711,36,1366.88,29.3074,-97.9801
