VARIABLE, PARCEL, DEPOT, PLANT, VALUE,
X,3695,52,,1084.4800,
X,3696,44,,0.0000,
X,3696,52,,1105.2200,
X,3697,44,,0.0000,
X,3697,52,,1068.7200,
X,3698,36,,1119.0800,
X,3699,36,,1175.7600,
X,3750,44,,1115.8800,
X,3751,31,,1115.8800,
X,3753,52,,1140.3600,
X,3754,36,,1070.8000,
X,3755,31,,1086.5000,
X,3756,31,,1086.5000,
X,3757,31,,1140.3600,
X,3759,52,,1017.4400,
X,3760,44,,1053.1400,
X,3761,36,,1064.7600,
X,3762,31,,733.2600,
X,3763,44,,1126.5400,
X,3764,31,,1043.3200,
X,3765,44,,1072.1400,
X,3766,36,,1083.5200,
X,3767,36,,1057.0400,
X,3768,36,,1079.1800,
X,3778,44,,1072.5600,
X,3779,36,,1052.0400,
X,3780,17,,0.0000,
X,3781,52,,1124.6400,
X,3782,44,,1084.4600,
X,3783,36,,1211.9200,
X,3785,44,,1160.5600,
X,3786,36,,1164.4200,
X,3787,31,,1180.9800,
X,3792,52,,1066.6200,
X,3832,31,,1126.1400,
X,3833,52,,1017.4400,
X,3834,31,,1193.0600,
X,3835,44,,1017.4400,
X,3836,44,,1074.9400,
X,3837,36,,1086.5000,
X,3838,31,,1001.4600,
X,3839,31,,1098.4400,
X,3852,36,,1106.2200,
X,3854,52,,1106.2200,
X,3855,36,,1150.9400,
X,3856,31,,1106.2200,
X,3860,52,,1096.2600,
X,3861,52,,1124.6600,
X,3863,36,,1031.7000,
X,3864,36,,1276.3800,
X,3896,36,,1216.9800,
X,3901,44,,1116.2800,
X,3902,36,,1078.2600,
X,3903,44,,1099.5800,
X,3904,31,,1116.2800,
X,3905,36,,1086.4600,
X,3906,36,,1086.4600,
X,3907,36,,978.5600,
X,3908,44,,1094.7200,
X,3909,36,,1079.1400,
X,3970,44,,1065.0800,
X,3971,31,,1098.3800,
X,3972,52,,1043.2600,
X,3973,36,,1086.4400,
X,3974,17,,0.0000,
X,3974,52,,1065.3400,
X,3975,31,,1043.2600,
X,3976,31,,1043.2600,
X,3977,31,,1104.4400,
X,3978,36,,1026.7000,
X,3979,31,,1065.3400,
X,4039,44,,1074.2400,
X,4040,36,,1089.4400,
X,4041,31,,1133.0800,
X,4042,52,,1133.0800,
X,4043,31,,1049.4600,
X,4044,44,,0.0000,
X,4044,52,,1090.0000,
X,4045,36,,1163.7200,
X,4046,31,,995.1800,
X,4047,52,,1048.6600,
X,4048,36,,1030.6200,
X,4049,52,,1011.2000,
X,4062,44,,1226.2600,
X,4063,36,,1089.4200,
X,4065,44,,0.0000,
X,4065,52,,1140.1800,
X,4066,44,,993.3200,
X,4067,44,,1033.1600,
X,4068,36,,1048.6400,
X,4069,31,,1030.6000,
X,4071,17,,0.0000,
X,4117,44,,1062.0400,
X,4118,31,,1069.0200,
X,4119,44,,1069.0200,
Y,,17,1,0.0000,
Y,,31,1,211712.1000,
Y,,36,1,219140.3600,
Y,,44,1,163536.9600,
Y,,52,1,212288.8800,
Z,2648,,1,1353.9600,
Z,2666,,1,1155.8400,
Z,2667,,1,1321.5800,
Z,2668,,1,1353.9600,
Z,2669,,1,1353.9600,
Z,2670,,1,1353.9600,
Z,2693,,1,1321.5800,
Z,2694,,1,1321.5800,
Z,2695,,1,1353.9600,
Z,2696,,1,1353.9600,
Z,2723,,1,1155.8200,
Z,2724,,1,1321.5800,
Z,2725,,1,1353.9600,
Z,2726,,1,1353.9600,
Z,2727,,1,1353.9600,
Z,2728,,1,1353.9600,
Z,2753,,1,1219.9200,
Z,2754,,1,1353.9600,
Z,2786,,1,1219.9200,
Z,2788,,1,1353.9600,
Z,2789,,1,1353.9600,
Z,2790,,1,1353.9600,
Z,2822,,1,1321.5400,
Z,2823,,1,1321.5400,
Z,2824,,1,1321.5400,
Z,2825,,1,1321.5400,
Z,2826,,1,1353.9000,
Z,2827,,1,1353.9000,
Z,2828,,1,1353.9000,
Z,2829,,1,1353.9000,
Z,2830,,1,1353.9000,
Z,2864,,1,1219.9200,
Z,2865,,1,1219.9200,
Z,2866,,1,1321.5200,
Z,2867,,1,1321.5200,
Z,2868,,1,1353.9000,
Z,2869,,1,1353.9000,
Z,2870,,1,1353.9000,
Z,2904,,1,1145.0200,
Z,2905,,1,1145.0200,
Z,2906,,1,1321.5200,
Z,2907,,1,1353.8800,
Z,2944,,1,1163.1200,
Z,2945,,1,1258.5400,
Z,2946,,1,1235.1400,
Z,2947,,1,1194.9400,
Z,2948,,1,1194.9400,
Z,2949,,1,1303.6000,
Z,2950,,1,1303.6000,
Z,2951,,1,1342.9000,
Z,2952,,1,1342.9000,
Z,2953,,1,1342.9000,
Z,2954,,1,1342.9000,
Z,2955,,1,1342.9000,
Z,2995,,1,1195.5800,
Z,2996,,1,1192.5400,
Z,2997,,1,1194.9200,
Z,2998,,1,1197.1400,
Z,2999,,1,1303.6000,
Z,3000,,1,1342.8800,
Z,3001,,1,1342.8800,
Z,3002,,1,1342.8800,
Z,3038,,1,1173.1000,
Z,3039,,1,1140.7800,
Z,3040,,1,1173.1000,
Z,3041,,1,1197.1400,
Z,3042,,1,1303.5800,
Z,3043,,1,1303.5800,
Z,3044,,1,1303.5800,
Z,3045,,1,1303.5800,
Z,3046,,1,1303.5800,
Z,3047,,1,1342.8600,
Z,3048,,1,1342.8600,
Z,3087,,1,1239.5800,
Z,3088,,1,1107.3800,
Z,3089,,1,1107.3800,
Z,3090,,1,1195.5400,
Z,3091,,1,1303.5600,
Z,3092,,1,1303.5600,
Z,3093,,1,1303.5600,
Z,3131,,1,1186.6400,
Z,3135,,1,1275.6000,
Z,3138,,1,1173.1000,
Z,3139,,1,1173.1000,
Z,3140,,1,1303.5600,
Z,3141,,1,1303.5600,
Z,3142,,1,1303.5600,
Z,3178,,1,1186.6800,
Z,3180,,1,1219.7200,
Z,3181,,1,1171.3200,
Z,3182,,1,1171.3200,
Z,3183,,1,1171.3200,
Z,3184,,1,1092.8400,
Z,3185,,1,1192.0400,
Z,3186,,1,1192.0400,
Z,3187,,1,1322.0800,
Z,3188,,1,1322.0800,
Z,3189,,1,1303.5400,
Z,3228,,1,1219.7400,
Z,3229,,1,1173.5600,
Z,3232,,1,1124.6200,
Z,3233,,1,1122.1600,
Z,3234,,1,1144.8800,
Z,3236,,1,1106.0400,
