index,RunID, LON, LAT,tag,Coord_ID,YIELD,land cover,county,Distance to Plant
199,333,-98.6698,29.0977,-98.6698.29.0977,333,11.1236,81,ATASCOSA,63.9002
200,334,-98.6598,29.0977,-98.6598.29.0977,334,11.1236,52,ATASCOSA,66.864
201,336,-98.6398,29.0977,-98.6398.29.0977,336,11.1236,81,ATASCOSA,61.2763
202,337,-98.6298,29.0977,-98.6298.29.0977,337,11.1236,52,ATASCOSA,56.4374
203,338,-98.6198,29.0977,-98.6198.29.0977,338,11.3164,81,ATASCOSA,56.0456
204,339,-98.6098,29.0977,-98.6098.29.0977,339,11.3164,81,ATASCOSA,54.4994
205,340,-98.5998,29.0977,-98.5998.29.0977,340,11.3164,52,ATASCOSA,52.9135
206,342,-98.5798,29.0977,-98.5798.29.0977,342,11.3164,81,ATASCOSA,56.5779
207,343,-98.5698,29.0977,-98.5698.29.0977,343,11.292,52,ATASCOSA,57.1699
208,344,-98.5598,29.0977,-98.5598.29.0977,344,11.292,81,ATASCOSA,46.8487
209,345,-98.5498,29.0977,-98.5498.29.0977,345,11.292,52,ATASCOSA,45.7333
210,347,-98.5298,29.0977,-98.5298.29.0977,347,10.8602,81,ATASCOSA,50.5945
211,348,-98.5198,29.0977,-98.5198.29.0977,348,11.6818,82,ATASCOSA,49.168
212,349,-98.5098,29.0977,-98.5098.29.0977,349,11.292,52,ATASCOSA,41.1977
213,350,-98.4998,29.0977,-98.4998.29.0977,350,11.4706,81,ATASCOSA,40.0592
214,351,-98.4898,29.0977,-98.4898.29.0977,351,10.964,81,ATASCOSA,39.317
215,352,-98.4798,29.0977,-98.4798.29.0977,352,11.4706,81,ATASCOSA,39.6574
216,353,-98.4698,29.0977,-98.4698.29.0977,353,11.4164,52,ATASCOSA,35.5296
217,355,-98.4498,29.0977,-98.4498.29.0977,355,11.3286,81,ATASCOSA,33.4324
218,356,-98.4398,29.0977,-98.4398.29.0977,356,10.7372,90,ATASCOSA,32.8828
219,357,-98.4298,29.0977,-98.4298.29.0977,357,10.964,82,ATASCOSA,32.0823
220,358,-98.4198,29.0977,-98.4198.29.0977,358,10.964,81,ATASCOSA,33.3508
221,359,-98.4098,29.0977,-98.4098.29.0977,359,11.4164,82,ATASCOSA,33.8129
222,360,-98.3998,29.0977,-98.3998.29.0977,360,11.399,82,ATASCOSA,35.6346
223,361,-98.7998,29.0877,-98.7998.29.0877,361,11.3574,82,ATASCOSA,79.2339
224,362,-98.7898,29.0877,-98.7898.29.0877,362,11.3574,52,ATASCOSA,80.2086
225,363,-98.7798,29.0877,-98.7798.29.0877,363,11.3574,81,ATASCOSA,81.1394
226,364,-98.7698,29.0877,-98.7698.29.0877,364,1.8672,52,ATASCOSA,81.628
227,365,-98.7598,29.0877,-98.7598.29.0877,365,1.8672,82,ATASCOSA,82.4897
228,366,-98.7498,29.0877,-98.7498.29.0877,366,2.0254,81,ATASCOSA,83.7283
229,367,-98.7398,29.0877,-98.7398.29.0877,367,2.0254,52,ATASCOSA,70.8162
230,368,-98.7298,29.0877,-98.7298.29.0877,368,11.5412,71,ATASCOSA,71.0622
231,369,-98.7198,29.0877,-98.7198.29.0877,369,11.5412,52,ATASCOSA,68.2101
232,370,-98.7098,29.0877,-98.7098.29.0877,370,11.5412,52,ATASCOSA,66.8926
233,371,-98.6998,29.0877,-98.6998.29.0877,371,11.1236,52,ATASCOSA,66.0341
234,372,-98.6898,29.0877,-98.6898.29.0877,372,7.2296,81,ATASCOSA,63.9206
235,373,-98.6798,29.0877,-98.6798.29.0877,373,11.1236,81,ATASCOSA,63.1272
236,374,-98.6698,29.0877,-98.6698.29.0877,374,11.1236,71,ATASCOSA,65.5526
237,375,-98.6598,29.0877,-98.6598.29.0877,375,12.0206,81,ATASCOSA,64.692
238,376,-98.6498,29.0877,-98.6498.29.0877,376,7.2296,82,ATASCOSA,64.3431
239,377,-98.6398,29.0877,-98.6398.29.0877,377,10.7438,82,ATASCOSA,61.2653
240,378,-98.6298,29.0877,-98.6298.29.0877,378,10.6876,81,ATASCOSA,59.3959
241,379,-98.6198,29.0877,-98.6198.29.0877,379,12.2934,81,ATASCOSA,56.2156
242,380,-98.6098,29.0877,-98.6098.29.0877,380,11.2916,82,ATASCOSA,55.7244
243,381,-98.5998,29.0877,-98.5998.29.0877,381,11.2916,81,ATASCOSA,53.6312
244,382,-98.5898,29.0877,-98.5898.29.0877,382,11.2916,81,ATASCOSA,53.7899
245,383,-98.5798,29.0877,-98.5798.29.0877,383,11.2916,52,ATASCOSA,55.6186
246,384,-98.5698,29.0877,-98.5698.29.0877,384,10.8602,81,ATASCOSA,57.2283
247,385,-98.5598,29.0877,-98.5598.29.0877,385,11.2916,52,ATASCOSA,51.6447
248,386,-98.5498,29.0877,-98.5498.29.0877,386,11.2916,52,ATASCOSA,50.2529
249,387,-98.5398,29.0877,-98.5398.29.0877,387,10.973,81,ATASCOSA,49.8064
250,388,-98.5298,29.0877,-98.5298.29.0877,388,11.2916,81,ATASCOSA,50.2671
251,389,-98.5198,29.0877,-98.5198.29.0877,389,11.3162,52,ATASCOSA,47.909
252,390,-98.5098,29.0877,-98.5098.29.0877,390,10.8602,82,ATASCOSA,46.9078
253,391,-98.4998,29.0877,-98.4998.29.0877,391,11.7282,81,ATASCOSA,44.3925
254,392,-98.4898,29.0877,-98.4898.29.0877,392,11.4164,52,ATASCOSA,43.894
255,394,-98.4698,29.0877,-98.4698.29.0877,394,10.9632,52,ATASCOSA,42.4762
256,395,-98.4598,29.0877,-98.4598.29.0877,395,10.9632,81,ATASCOSA,35.0907
257,396,-98.4498,29.0877,-98.4498.29.0877,396,10.7794,71,ATASCOSA,34.8712
258,398,-98.4298,29.0877,-98.4298.29.0877,398,10.7794,81,ATASCOSA,33.2029
259,399,-98.4198,29.0877,-98.4198.29.0877,399,11.3986,71,ATASCOSA,36.3209
260,400,-98.4098,29.0877,-98.4098.29.0877,400,11.3986,81,ATASCOSA,37.294
261,401,-98.3998,29.0877,-98.3998.29.0877,401,11.3284,81,ATASCOSA,37.4455
262,402,-98.3898,29.0877,-98.3898.29.0877,402,10.9632,81,ATASCOSA,38.8013
263,403,-98.7998,29.0777,-98.7998.29.0777,403,1.8784,82,ATASCOSA,84.2674
264,404,-98.7898,29.0777,-98.7898.29.0777,404,1.8784,52,ATASCOSA,81.3165
265,405,-98.7798,29.0777,-98.7798.29.0777,405,1.8784,81,ATASCOSA,85.8731
266,406,-98.7698,29.0777,-98.7698.29.0777,406,1.8784,82,ATASCOSA,84.2014
267,408,-98.7498,29.0777,-98.7498.29.0777,408,2.0288,52,ATASCOSA,84.214
268,409,-98.7398,29.0777,-98.7398.29.0777,409,2.0288,82,ATASCOSA,70.4103
269,410,-98.7298,29.0777,-98.7298.29.0777,410,11.2292,81,ATASCOSA,69.256
270,411,-98.7198,29.0777,-98.7198.29.0777,411,11.2292,52,ATASCOSA,68.7627
271,412,-98.7098,29.0777,-98.7098.29.0777,412,11.2284,52,ATASCOSA,67.1319
