VARIABLE, PARCEL, DEPOT, PLANT, VALUE,
X,3132,3,,1165.1600,
X,3133,36,,1238.2000,
X,3133,44,,0.0000,
X,3134,31,,1080.3600,
X,3136,36,,1259.6400,
X,3190,36,,1329.1000,
X,3191,36,,1329.1000,
X,3192,44,,0.0000,
X,3192,45,,1188.6000,
X,3192,52,,0.0000,
X,3193,36,,1239.6200,
X,3194,31,,1219.1200,
X,3195,3,,1184.7000,
X,3195,53,,0.0000,
X,3196,45,,698.1200,
X,3197,36,,698.1200,
X,3198,36,,1200.1800,
X,3199,31,,1236.1400,
X,3200,31,,1281.3200,
X,3201,52,,1200.1800,
X,3202,44,,0.0000,
X,3202,45,,1262.7400,
X,3202,50,,0.0000,
X,3203,36,,1200.1800,
X,3204,52,,1091.0400,
X,3205,36,,1091.0400,
X,3206,52,,1046.7800,
X,3207,31,,1125.5600,
X,3208,36,,1135.0800,
X,3256,45,,1281.3400,
X,3257,44,,0.0000,
X,3257,45,,1184.7000,
X,3259,44,,0.0000,
X,3259,45,,1226.0800,
X,3259,52,,0.0000,
X,3260,36,,1083.5000,
X,3261,45,,1046.7800,
X,3262,36,,1104.0600,
X,3263,36,,1076.0800,
X,3264,56,,0.0000,
X,3265,52,,1178.1200,
X,3266,36,,1178.1200,
X,3267,36,,1148.1200,
X,3268,36,,1148.1200,
X,3269,31,,1160.7400,
X,3270,11,,1137.4800,
X,3271,52,,1108.7600,
X,3272,44,,0.0000,
X,3272,45,,784.5400,
X,3272,46,,0.0000,
X,3273,36,,784.5400,
X,3274,52,,1139.5800,
X,3275,31,,1139.5800,
X,3276,52,,1139.5800,
X,3277,31,,1181.2600,
X,3278,31,,1181.2600,
X,3279,31,,1139.5800,
X,3327,44,,0.0000,
X,3327,45,,1137.4400,
X,3328,36,,1139.5800,
X,3328,44,,0.0000,
X,3329,43,,0.0000,
X,3329,44,,0.0000,
X,3329,45,,1162.7000,
X,3330,31,,1147.8000,
X,3331,44,,0.0000,
X,3331,45,,1139.5800,
X,3331,52,,0.0000,
X,3332,36,,1181.2600,
X,3333,31,,1139.5800,
X,3334,11,,1037.4400,
X,3335,44,,0.0000,
X,3335,45,,1016.8000,
X,3335,46,,0.0000,
X,3336,36,,1037.4400,
X,3337,36,,1144.2200,
X,3338,31,,1094.4800,
X,3339,31,,1080.3400,
X,3340,11,,1080.3400,
X,3341,3,,1182.5200,
X,3342,43,,0.0000,
X,3342,44,,0.0000,
X,3342,45,,1185.2200,
X,3343,36,,1185.2200,
X,3344,52,,1185.2200,
X,3345,36,,1182.5200,
X,3346,52,,1135.5600,
X,3398,36,,1135.5600,
X,3399,36,,1080.3200,
X,3400,31,,1080.3200,
X,3401,36,,1118.5400,
X,3402,36,,1104.5800,
X,3403,11,,1197.7600,
X,3404,52,,1214.5200,
X,3405,36,,1219.1400,
X,3406,31,,1171.4800,
X,3407,31,,1218.4400,
X,3408,31,,1263.5400,
X,3409,11,,1257.7000,
X,3410,3,,1263.5400,
X,3411,36,,1263.5400,
X,3412,36,,1197.7600,
X,3414,3,,0.0000,
X,3414,44,,0.0000,
X,3414,45,,1165.9400,
X,3416,36,,1281.3000,
X,3417,45,,1237.5800,
X,3424,31,,1168.7600,
X,3425,36,,1077.1200,
X,3426,52,,1077.1200,
X,3427,36,,1077.1200,
X,3429,3,,1160.7200,
X,3429,44,,0.0000,
X,3430,31,,1178.0600,
X,3431,11,,1147.3800,
X,3432,3,,0.0000,
X,3432,44,,0.0000,
X,3432,45,,1154.2200,
X,3433,36,,1154.2200,
X,3475,44,,0.0000,
X,3476,36,,1178.0400,
X,3477,31,,1224.9600,
X,3480,52,,1168.7600,
X,3481,43,,0.0000,
X,3481,44,,0.0000,
X,3481,45,,1224.9600,
X,3482,31,,1218.1800,
X,3483,56,,0.0000,
X,3484,36,,1037.4000,
X,3486,36,,1097.6400,
X,3487,36,,1136.7800,
X,3488,31,,1097.6400,
X,3494,52,,1131.0000,
X,3496,44,,0.0000,
X,3496,45,,1121.9600,
X,3499,36,,1115.8400,
X,3501,52,,1135.5600,
X,3502,36,,1119.8200,
X,3503,31,,1119.8200,
X,3506,36,,1251.3200,
X,3544,44,,0.0000,
X,3544,45,,1073.3200,
X,3545,36,,1115.8400,
X,3546,31,,1182.5200,
X,3547,36,,1155.3800,
X,3548,31,,1104.5800,
X,3549,3,,1080.3200,
X,3550,43,,0.0000,
X,3550,44,,0.0000,
X,3550,45,,1107.1600,
X,3551,36,,1126.5200,
X,3552,31,,1135.5200,
X,3553,52,,1135.5200,
X,3554,31,,1119.8200,
X,3555,45,,1135.5200,
X,3555,52,,0.0000,
X,3556,31,,1135.5200,
X,3557,31,,1227.2000,
X,3558,31,,1263.5200,
X,3559,36,,1251.3000,
X,3559,44,,0.0000,
X,3560,36,,1263.5200,
X,3570,52,,1196.2600,
X,3571,36,,1030.1000,
X,3571,44,,0.0000,
X,3572,31,,1125.7400,
X,3574,45,,1157.7600,
X,3575,36,,1139.1400,
X,3611,36,,1171.6400,
X,3612,31,,756.9600,
X,3613,52,,1205.1600,
X,3614,44,,0.0000,
X,3614,45,,1171.6400,
X,3615,36,,1183.2800,
X,3616,31,,1304.3400,
