VARIABLE, PARCEL, DEPOT, VALUE,LON,LAT
X,2993,3,1202.16,-98.3101,29.2274
X,2994,36,1197.8,-98.3001,29.2274
X,3051,36,1366.22,-98.1201,29.2174
X,3052,52,1200.14,-98.1101,29.2174
X,3053,3,1224.26,-98.1001,29.2174
X,3054,31,1255,-98.0901,29.2174
X,3056,52,1046.78,-98.0501,29.2174
X,3057,52,1024.48,-98.0401,29.2174
X,3058,36,1046.78,-98.0301,29.2174
X,3059,36,1094.06,-98.0201,29.2174
X,3060,31,1086.16,-98.0001,29.2174
X,3062,52,1032.1,-97.9801,29.2174
X,3063,52,1041.64,-97.9701,29.2174
X,3064,31,1103.14,-97.9601,29.2174
X,3066,31,1193.46,-97.9401,29.2174
X,3118,31,1137.52,-97.8801,29.2074
X,3122,3,1068,-97.8401,29.2074
X,3123,36,1258.66,-97.8301,29.2074
X,3124,31,1221.98,-97.8201,29.2074
X,3125,52,1221.98,-97.8101,29.2074
X,3126,3,1246.66,-97.8001,29.2074
X,3127,36,1191.16,-97.7901,29.2074
X,3128,36,1205.72,-97.7701,29.2074
X,3129,31,1188.86,-97.7601,29.2074
X,3130,31,805.66,-97.7501,29.2074
X,3132,3,1165.16,-98.3201,29.1974
X,3133,36,1238.2,-98.3101,29.1974
X,3134,31,1080.36,-98.3001,29.1974
X,3136,36,1259.64,-98.2601,29.1974
X,3190,36,1329.1,-98.1701,29.1874
X,3191,31,1329.1,-98.1601,29.1874
X,3192,52,1188.6,-98.1501,29.1874
X,3193,36,1239.62,-98.1401,29.1874
X,3194,31,1219.12,-98.1301,29.1874
X,3195,3,1184.7,-98.1101,29.1874
X,3197,36,698.12,-98.0901,29.1874
X,3198,36,1200.18,-98.0801,29.1874
X,3199,31,1236.14,-98.0701,29.1874
X,3200,31,1281.32,-98.0601,29.1874
X,3201,52,1200.18,-98.0501,29.1874
X,3202,52,1262.74,-98.0401,29.1874
X,3203,36,1200.18,-98.0301,29.1874
X,3204,52,1091.04,-98.0101,29.1874
X,3205,36,1091.04,-98.0001,29.1874
X,3206,52,1046.78,-97.9901,29.1874
X,3207,31,1125.56,-97.9801,29.1874
X,3259,52,1226.08,-98.0201,29.1774
X,3260,36,1083.5,-98.0101,29.1774
X,3262,36,1104.06,-97.9701,29.1774
X,3263,36,1076.08,-97.9601,29.1774
X,3264,52,1191.62,-97.9501,29.1774
X,3265,52,1178.12,-97.9401,29.1774
X,3266,36,1178.12,-97.9301,29.1774
X,3267,36,1148.12,-97.9201,29.1774
X,3268,36,1148.12,-97.9101,29.1774
X,3269,31,1160.74,-97.9001,29.1774
X,3271,52,1108.76,-97.8801,29.1774
X,3273,36,784.54,-97.8601,29.1774
X,3274,52,1139.58,-97.8501,29.1774
X,3275,31,1139.58,-97.8401,29.1774
X,3276,52,1139.58,-97.8301,29.1774
X,3277,31,1181.26,-97.8201,29.1774
X,3278,31,1181.26,-97.8101,29.1774
X,3329,52,1162.7,-97.8501,29.1674
X,3330,31,1147.8,-97.8401,29.1674
X,3331,52,1139.58,-97.8301,29.1674
X,3332,36,1181.26,-97.8201,29.1674
X,3333,31,1139.58,-97.8101,29.1674
X,3334,52,1037.44,-98.3601,29.1574
X,3335,52,1016.8,-98.3501,29.1574
X,3336,36,1037.44,-98.3401,29.1574
X,3337,36,1144.22,-98.3301,29.1574
X,3338,31,1094.48,-98.3201,29.1574
X,3339,31,1080.34,-98.3101,29.1574
X,3341,3,1182.52,-98.2901,29.1574
X,3342,36,1185.22,-98.2701,29.1574
X,3343,36,1185.22,-98.2601,29.1574
X,3344,52,1185.22,-98.2501,29.1574
X,3345,36,1182.52,-98.2401,29.1574
X,3346,52,1135.56,-98.2301,29.1574
X,3398,36,1135.56,-98.2301,29.1474
X,3399,36,1080.32,-98.2201,29.1474
X,3400,31,1080.32,-98.2101,29.1474
X,3401,36,1118.54,-98.2001,29.1474
X,3402,36,1104.58,-98.1901,29.1474
X,3403,52,1197.76,-98.1401,29.1474
X,3404,52,1214.52,-98.1301,29.1474
X,3405,36,1219.14,-98.1201,29.1474
X,3406,31,1171.48,-98.1101,29.1474
X,3407,31,1218.44,-98.1001,29.1474
X,3408,31,1263.54,-98.0901,29.1474
X,3410,3,1263.54,-98.0701,29.1474
X,3411,36,1263.54,-98.0601,29.1474
X,3412,31,1197.76,-98.0501,29.1474
X,3414,3,1165.94,-98.0301,29.1474
X,3416,36,1281.3,-98.0101,29.1474
X,3424,31,1168.76,-97.9301,29.1474
X,3425,36,1077.12,-97.9201,29.1474
X,3426,52,1077.12,-97.9101,29.1474
X,3427,36,1077.12,-97.9001,29.1474
X,3429,3,1160.72,-97.8801,29.1474
X,3430,31,1178.06,-97.8701,29.1474
X,3432,3,1154.22,-97.8501,29.1474
X,3433,36,1154.22,-97.8401,29.1474
X,3435,52,1196.18,-98.3801,29.1374
X,3476,36,1178.04,-97.9001,29.1374
X,3477,31,1224.96,-97.8901,29.1374
X,3480,52,1168.76,-97.8601,29.1374
X,3481,52,1224.96,-97.8501,29.1374
X,3482,31,1218.18,-98.3901,29.1274
X,3484,36,1037.4,-98.3601,29.1274
X,3486,36,1097.64,-98.3401,29.1274
X,3487,36,1136.78,-98.3301,29.1274
X,3494,52,1131,-98.2201,29.1274
X,3499,36,1115.84,-98.1601,29.1274
X,3501,52,1135.56,-98.1301,29.1274
X,3502,36,1119.82,-98.1201,29.1274
X,3503,31,1119.82,-98.1101,29.1274
X,3506,36,1251.32,-98.0801,29.1274
X,3545,36,1115.84,-98.2201,29.1174
X,3546,31,1182.52,-98.2101,29.1174
X,3547,36,1155.38,-98.2001,29.1174
X,3549,3,1080.32,-98.1701,29.1174
X,3550,52,1107.16,-98.1601,29.1174
X,3551,36,1126.52,-98.1501,29.1174
X,3552,31,1135.52,-98.1401,29.1174
X,3553,52,1135.52,-98.1301,29.1174
X,3554,31,1119.82,-98.1201,29.1174
X,3555,52,1135.52,-98.1101,29.1174
X,3556,31,1135.52,-98.1001,29.1174
X,3557,31,1227.2,-98.0901,29.1174
X,3558,52,1263.52,-98.0801,29.1174
X,3559,36,1251.3,-98.0601,29.1174
