var, orig, dest, value,
5,4071,1,1180.50,
5,4072,1,1180.50,
5,4073,1,1180.50,
5,4113,1,1073.10,
5,4114,1,1180.50,
5,4115,1,1180.50,
5,4116,1,1180.50,
5,4117,1,1180.50,
5,4118,1,1180.50,
5,4120,1,1180.50,
5,4121,1,1180.50,
5,4122,1,1180.50,
5,4123,1,1180.50,
5,4124,1,1180.50,
5,4125,1,1180.50,
5,4126,1,1180.50,
5,4167,1,1180.50,
5,4168,1,1180.50,
5,4169,1,1180.50,
5,4170,1,1180.50,
5,4171,1,1180.50,
5,4172,1,1180.50,
5,4173,1,1180.50,
5,4175,1,1180.50,
5,4176,1,1180.50,
5,4177,1,1180.50,
5,4178,1,1180.50,
5,4179,1,1180.50,
5,4223,1,1073.10,
5,4224,1,1073.10,
5,4225,1,1180.50,
5,4226,1,1180.50,
5,4227,1,1180.50,
5,4228,1,1180.50,
5,4229,1,1180.50,
5,4231,1,1180.50,
5,4232,1,1180.50,
5,4233,1,1180.50,
5,4234,1,1180.50,
5,4235,1,1180.50,
5,4236,1,1180.50,
5,4237,1,1180.50,
5,4274,1,1008.80,
5,4275,1,1008.80,
5,4276,1,1073.10,
5,4277,1,1180.50,
5,4278,1,1180.50,
5,4280,1,1180.50,
5,4281,1,1180.50,
5,4282,1,1180.50,
5,4283,1,1180.50,
5,4284,1,1180.50,
5,4285,1,1180.50,
5,4286,1,1180.50,
5,4287,1,1180.50,
5,4288,1,1180.50,
5,4289,1,1180.50,
5,4334,1,1031.70,
5,4336,1,1133.80,
5,4337,1,1076.90,
5,4338,1,1073.10,
5,4339,1,1180.50,
5,4340,1,1073.10,
5,4341,1,1180.50,
5,4342,1,1180.50,
5,4343,1,1180.50,
5,4344,1,1180.50,
5,4345,1,1180.50,
5,4347,1,1180.50,
5,4396,1,1077.80,
5,4397,1,1060.10,
5,4398,1,1074.00,
5,4399,1,1064.80,
5,4400,1,1073.10,
5,4402,1,1080.00,
5,4403,1,1180.50,
5,4404,1,1180.50,
5,4405,1,1180.50,
5,4406,1,1180.50,
5,4407,1,1180.50,
5,4413,1,1180.50,
5,4414,1,1180.50,
5,4415,1,1180.50,
5,4416,1,1180.50,
5,4417,1,1180.50,
5,4458,1,1067.20,
5,4459,1,1050.80,
5,4460,1,1083.30,
5,4461,1,1067.20,
5,4462,1,1080.00,
5,4463,1,1109.80,
5,4464,1,1080.00,
5,4465,1,1180.50,
5,4467,1,1180.50,
5,4468,1,1180.50,
5,4469,1,1180.50,
5,4470,1,1180.50,
5,4471,1,1180.50,
5,4472,1,1180.50,
5,4473,1,1180.50,
5,4474,1,1180.50,
5,4475,1,1180.50,
5,4476,1,1180.50,
5,4478,1,1180.50,
5,4523,1,1109.80,
5,4524,1,1109.80,
5,4525,1,1054.20,
5,4527,1,1054.20,
5,4528,1,1073.90,
5,4529,1,1180.50,
5,4530,1,1180.50,
5,4531,1,1180.50,
5,4532,1,1180.50,
5,4533,1,1180.50,
5,4534,1,1180.50,
5,4535,1,1180.50,
5,4536,1,1180.50,
5,4548,1,1008.80,
5,4559,1,1050.80,
5,4579,1,1024.90,
