VARIABLE, PARCEL, DEPOT, PLANT, VALUE
X,3272,46,,0
X,3273,36,,784.54
X,3274,52,,1139.58
X,3275,31,,1139.58
X,3276,52,,1139.58
X,3277,31,,1181.26
X,3278,31,,1181.26
X,3279,31,,1139.58
X,3327,44,,0
X,3327,45,,1137.44
X,3328,36,,1139.58
X,3328,44,,0
X,3329,43,,0
X,3329,44,,0
X,3329,45,,1162.7
X,3330,31,,1147.8
X,3331,44,,0
X,3331,45,,1139.58
X,3331,52,,0
X,3332,36,,1181.26
X,3333,31,,1139.58
X,3334,11,,1037.44
X,3335,44,,0
X,3335,45,,1016.8
X,3335,46,,0
X,3336,36,,1037.44
X,3337,36,,1144.22
X,3338,31,,1094.48
X,3339,31,,1080.34
X,3340,11,,1080.34
X,3341,3,,1182.52
X,3342,43,,0
X,3342,44,,0
X,3342,45,,1185.22
X,3343,36,,1185.22
X,3344,52,,1185.22
X,3345,36,,1182.52
X,3346,52,,1135.56
X,3398,36,,1135.56
X,3399,36,,1080.32
X,3400,31,,1080.32
X,3401,36,,1118.54
X,3402,36,,1104.58
X,3403,11,,1197.76
X,3404,52,,1214.52
X,3405,36,,1219.14
X,3406,31,,1171.48
X,3407,31,,1218.44
X,3408,31,,1263.54
X,3409,11,,1257.7
X,3410,3,,1263.54
X,3411,36,,1263.54
X,3412,36,,1197.76
X,3414,3,,0
X,3414,44,,0
X,3414,45,,1165.94
X,3416,36,,1281.3
X,3417,45,,1237.58
X,3424,31,,1168.76
X,3425,36,,1077.12
X,3426,52,,1077.12
X,3427,36,,1077.12
X,3429,3,,1160.72
X,3429,44,,0
X,3430,31,,1178.06
X,3431,11,,1147.38
X,3432,3,,0
X,3432,44,,0
X,3432,45,,1154.22
X,3433,36,,1154.22
X,3475,44,,0
X,3476,36,,1178.04
X,3477,31,,1224.96
X,3480,52,,1168.76
X,3481,43,,0
X,3481,44,,0
X,3481,45,,1224.96
X,3482,31,,1218.18
X,3483,56,,0
X,3484,36,,1037.4
X,3486,36,,1097.64
X,3487,36,,1136.78
X,3488,31,,1097.64
X,3494,52,,1131
X,3496,44,,0
X,3496,45,,1121.96
X,3499,36,,1115.84
X,3501,52,,1135.56
X,3502,36,,1119.82
X,3503,31,,1119.82
X,3506,36,,1251.32
X,3544,44,,0
X,3544,45,,1073.32
X,3545,36,,1115.84
X,3546,31,,1182.52
X,3547,36,,1155.38
X,3548,31,,1104.58
X,3549,3,,1080.32
X,3550,43,,0
X,3550,44,,0
X,3550,45,,1107.16
X,3551,36,,1126.52
X,3552,31,,1135.52
X,3553,52,,1135.52
X,3554,31,,1119.82
X,3555,45,,1135.52
X,3555,52,,0
X,3556,31,,1135.52
X,3557,31,,1227.2
X,3558,31,,1263.52
X,3559,36,,1251.3
X,3559,44,,0
X,3560,36,,1263.52
X,3570,52,,1196.26
X,3571,36,,1030.1
X,3571,44,,0
X,3572,31,,1125.74
X,3574,45,,1157.76
X,3575,36,,1139.14
X,3611,36,,1171.64
X,3612,31,,756.96
X,3613,52,,1205.16
X,3614,44,,0
X,3614,45,,1171.64
X,3615,36,,1183.28
X,3616,31,,1304.34
X,3617,31,,1203.1
X,3618,31,,1147.24
X,3619,11,,1203.1
X,3620,44,,0
X,3620,45,,1165.18
X,3621,36,,1237.14
X,3622,31,,1233.4
X,3623,44,,0
X,3623,45,,1233.4
X,3624,31,,1131.38
X,3625,36,,0
X,3625,44,,0
X,3625,45,,1085.9
X,3626,52,,1067.38
X,3627,52,,1085.22
X,3628,36,,0
X,3628,44,,0
X,3628,45,,1142.52
X,3629,36,,1014.92
X,3630,36,,1142.52
X,3684,36,,1047.6
X,3685,36,,1112.02
X,3686,36,,1076.86
X,3687,36,,1157.18
X,3688,3,,1105.08
X,3689,52,,1125.1
X,3690,36,,1105.08
X,3691,31,,1021.68
X,3692,36,,1087.5
X,3693,52,,1087.5
X,3694,31,,1108.82
X,3695,52,,1087.5
X,3696,52,,1105.08
X,3697,44,,0
X,3697,45,,1073.26
X,3697,52,,0
X,3698,36,,1147.24
X,3699,36,,1203.1
X,3700,36,,1165.16
X,3747,36,,1183.24
X,3748,36,,1188.42
X,3750,36,,1134.34
X,3751,31,,1134.34
X,3753,3,,1141.96
X,3754,36,,1079.6
X,3755,31,,1085.22
X,3756,31,,1085.22
X,3757,31,,1141.96
X,3759,52,,1024.4
X,3760,43,,0
X,3760,44,,0
X,3760,45,,1060
X,3761,36,,1071.12
X,3762,31,,734.18
X,3763,3,,0
X,3763,44,,0
X,3763,45,,1127.54
X,3764,31,,1052.48
X,3765,3,,0
X,3765,44,,0
X,3765,45,,1087.62
X,3766,36,,1098.22
X,3767,36,,1068.6
X,3768,36,,1088.54
X,3778,44,,0
X,3778,45,,1074.46
X,3778,46,,0
X,3779,36,,1053.1
X,3781,11,,1125.06
X,3782,36,,0
X,3782,44,,0
X,3782,45,,1087.46
X,3783,36,,1245.2
X,3785,3,,0
X,3785,45,,1185.74
X,3786,36,,1188.42
X,3787,31,,1205.22
X,3789,11,,1183.16
