VARIABLE,INDEX, DEPOT, VALUE,LON,LAT
X,2712,36,1453.58,-97.9501,29.3074
X,2713,31,1333.66,-97.9401,29.3074
X,2715,36,1294.58,-97.9201,29.3074
X,2767,52,1296.44,-98.0001,29.2874
X,2768,44,1421.46,-97.9901,29.2874
X,2769,44,1473.36,-97.9801,29.2874
X,2770,36,1297.64,-97.9601,29.2874
X,2771,52,1453.56,-97.9401,29.2874
X,2772,36,1333.72,-97.9301,29.2874
X,2773,31,1292.68,-97.9201,29.2874
X,2774,52,1333.72,-97.9101,29.2874
X,2775,36,1333.72,-97.9001,29.2874
X,2776,31,1333.72,-97.8901,29.2874
X,2777,52,1326.96,-97.8801,29.2874
X,2778,52,1289.88,-97.8701,29.2874
X,2779,52,1465.64,-97.8601,29.2874
X,2780,44,1465.64,-97.8501,29.2874
X,2781,44,1465.64,-97.8401,29.2874
X,2782,31,1465.64,-97.8301,29.2874
X,2785,36,1302.88,-97.8001,29.2874
X,2787,44,1442.62,-98.2001,29.2774
X,2838,36,1285.96,-98.0601,29.2674
X,2839,36,1210.46,-98.0401,29.2674
X,2840,36,1296.3,-98.0301,29.2674
X,2841,52,1407.22,-98.0201,29.2674
X,2842,36,1407.22,-98.0101,29.2674
X,2843,52,1355.58,-97.9901,29.2674
X,2844,44,1418.38,-97.9801,29.2674
X,2845,31,1292,-97.9701,29.2674
X,2846,31,1467.88,-97.9601,29.2674
X,2847,52,1292.9,-97.9501,29.2674
X,2848,52,1333.74,-97.9301,29.2674
X,2849,44,1344.86,-97.9201,29.2674
X,2850,36,1333.74,-97.9101,29.2674
X,2855,31,1436.74,-97.8601,29.2674
X,2908,31,1442.62,-98.1801,29.2474
X,2909,52,1442.62,-98.1601,29.2474
X,2910,31,1442.62,-98.1501,29.2474
X,2911,52,1442.62,-98.1401,29.2474
X,2912,31,1442.62,-98.1201,29.2474
X,2913,52,1359.88,-98.1101,29.2474
X,2914,44,1359.88,-98.1001,29.2474
X,2915,36,1213,-98.0901,29.2474
X,2917,52,1213,-98.0701,29.2474
X,2918,52,1208,-98.0601,29.2474
X,2919,36,1346.82,-98.0501,29.2474
X,2935,44,1348.92,-97.8401,29.2474
X,2936,52,1266.46,-97.8301,29.2474
