VARIABLE, PARCEL, DEPOT, PLANT, VALUE
X,3337,36,,1273.36
X,3338,31,,1237.48
X,3339,31,,1234.56
X,3340,11,,1234.56
X,3341,3,,1329.96
X,3342,45,,1300.38
X,3343,36,,1300.38
X,3344,52,,1300.38
X,3345,36,,1329.96
X,3346,52,,1259.34
X,3398,36,,1259.32
X,3399,36,,1234.56
X,3400,31,,1234.56
X,3401,36,,1272.18
X,3402,36,,1259.54
X,3403,11,,1279.88
X,3404,52,,1280.96
X,3405,36,,1347.18
X,3406,31,,1298.36
X,3407,31,,1295.48
X,3408,31,,1361.74
X,3409,11,,1367.42
X,3410,3,,1361.74
X,3411,36,,1361.74
X,3412,36,,1279.88
X,3414,45,,1284.64
X,3416,36,,1297.4
X,3424,31,,1298.22
X,3425,36,,1235.9
X,3426,52,,1235.9
X,3427,36,,1235.9
X,3429,3,,1287.68
X,3430,31,,1314.92
X,3431,11,,1284.16
X,3432,45,,1277.36
X,3433,36,,1277.36
X,3476,36,,1314.92
X,3477,31,,1384.2
X,3480,52,,1298.22
X,3481,45,,1384.2
X,3482,31,,1366.34
X,3484,36,,1207.9
X,3486,36,,1228
X,3487,36,,1261
X,3496,45,,1274.56
X,3499,36,,1246.08
X,3501,52,,1259.3
X,3502,36,,1254.82
X,3503,31,,1254.82
X,3506,36,,1368.88
X,3544,45,,1221.56
X,3545,36,,1246.08
X,3546,31,,1329.94
X,3547,36,,1297.4
X,3550,45,,1253.82
X,3551,36,,1259.26
X,3552,31,,1259.3
X,3553,52,,1259.3
X,3554,31,,1254.82
X,3555,45,,1259.3
X,3556,31,,1259.3
X,3557,31,,1333
X,3558,31,,1361.76
X,3560,36,,1361.76
X,3570,52,,1286.92
X,3571,36,,1167.38
X,3572,31,,1243.42
X,3575,36,,1257.56
X,3611,36,,1251.84
X,3614,45,,1251.84
X,3615,36,,1286.38
X,3616,31,,1290.8
X,3617,31,,1267.34
X,3619,11,,1267.34
X,3620,45,,1245.3
X,3622,31,,1292.16
X,3623,45,,1292.16
X,3624,31,,1265.8
X,3625,45,,1219.54
X,3626,52,,1196.88
X,3627,52,,1206.54
X,3628,45,,1262.8
X,3629,36,,1161.96
X,3630,36,,1262.8
X,3684,36,,1194.26
X,3686,36,,1225.18
X,3687,36,,1271.8
X,3689,52,,1254.38
X,3690,36,,1237.2
X,3691,31,,1174.72
X,3692,36,,1221.92
X,3693,52,,1221.92
X,3694,31,,1233.32
X,3695,52,,1221.92
X,3696,52,,1237.2
X,3697,45,,1214.16
X,3698,36,,1252.78
X,3699,3,,1267.36
X,3751,31,,1242.42
X,3753,3,,1267.46
X,3754,36,,1203.58
X,3755,31,,1206.5
X,3756,31,,1206.5
X,3757,31,,1267.46
X,3759,52,,1164.54
X,3760,45,,1198.22
X,3761,36,,1210.46
X,3762,31,,879.6
X,3763,45,,1243.26
X,3764,31,,1210.24
X,3765,45,,1231.12
X,3766,36,,1241.32
X,3767,36,,1210.94
X,3768,36,,1235.72
X,3778,45,,1218.36
X,3779,36,,1212.38
X,3781,11,,1254.26
X,3782,45,,1221.92
X,3783,36,,1299.48
X,3785,45,,1301.16
X,3786,36,,1265.08
X,3787,31,,1307.06
X,3790,11,,1307.06
X,3791,3,,1307.06
X,3792,3,,1189.3
X,3793,45,,1234.5
X,3832,31,,1261.3
X,3833,45,,1164.52
X,3834,31,,1318.48
X,3835,3,,1164.52
X,3836,11,,1201.5
X,3837,36,,1206.42
X,3838,3,,1151.42
X,3839,11,,1226.6
X,3840,3,,1200.78
X,3852,36,,1233.28
X,3854,52,,1233.28
X,3855,36,,1271.66
X,3856,31,,1233.28
X,3860,3,,1226.46
X,3861,45,,1254.22
X,3863,36,,1190.4
X,3864,36,,1370.64
X,3896,36,,1333.2
X,3900,36,,1256.26
X,3901,45,,1251.3
X,3902,36,,1217.22
X,3903,45,,1232.06
X,3904,31,,1251.3
X,3905,36,,1206.38
X,3906,36,,1206.38
X,3907,36,,1159.18
X,3908,45,,1221.08
X,3909,36,,1235.7
X,3910,3,,1237.66
X,3971,31,,1226.54
X,3972,52,,1210.84
X,3973,36,,1206.5
X,3974,52,,1213.62
X,3975,31,,1210.84
X,3976,31,,1210.84
X,3977,31,,1248.5
X,3978,36,,1194.32
X,3979,36,,1213.62
X,3980,3,,1225.38
X,4039,45,,1211.68
X,4040,36,,1226.66
X,4041,31,,1267.18
X,4042,52,,1267.18
X,4043,31,,1205.26
X,4044,52,,1222.74
X,4045,36,,1282.74
X,4046,31,,1160.96
X,4047,52,,1195.74
X,4048,36,,1180.72
X,4049,36,,1167.46
X,4059,36,,1087.6
X,4062,45,,1345.52
X,4063,36,,1226.66
X,4065,52,,1294.8
X,4066,45,,1144.6
X,4067,36,,1180.68
X,4068,36,,1195.78
X,4069,31,,1180.72
X,4072,11,,1041
X,4073,3,,1127.16
X,4074,11,,1196.26
X,4075,11,,1185.5
X,4117,45,,1185.52
X,4118,31,,1215.24
X,4119,45,,1215.26
Y,,3,1,120871.46
Y,,11,1,68220.62
Y,,31,1,217856.32
Y,,36,1,289029.76
Y,,45,1,173331.9
Y,,52,1,111342.58
Z,131,,1,1235.52
Z,156,,1,1205.26
Z,157,,1,1205.26
Z,158,,1,1189.74
Z,188,,1,1205.22
Z,2628,,1,1296.8
Z,2647,,1,1291.02
Z,2648,,1,1442.62
Z,2649,,1,1296.38
Z,2666,,1,1296.78
Z,2667,,1,1423.78
Z,2668,,1,1442.62
Z,2669,,1,1442.62
Z,2670,,1,1442.62
Z,2693,,1,1423.78
Z,2694,,1,1423.78
Z,2695,,1,1442.64
Z,2696,,1,1442.64
Z,2723,,1,1296.8
Z,2724,,1,1423.78
Z,2725,,1,1442.62
Z,2726,,1,1442.62
Z,2727,,1,1442.62
Z,2728,,1,1442.62
Z,2753,,1,1363.7
Z,2754,,1,1442.6
