VARIABLE, PARCEL, DEPOT, PLANT, VALUE,,,,
X,3428,11,,0,,,,
X,3428,52,,1145.56,,,,
X,3429,36,,1102.66,,,,
X,3431,11,,1167.44,,,,
X,3432,36,,1167.44,,,,
X,3433,36,,1167.44,,,,
X,3436,36,,1098.58,,,,
X,3477,31,,1149.88,,,,
X,3478,31,,1094.14,,,,
X,3480,11,,0,,,,
X,3480,52,,1233.34,,,,
X,3481,52,,1193.26,,,,
X,3482,31,,994.98,,,,
X,3484,31,,1002.1,,,,
X,3493,31,,1008.38,,,,
X,3494,31,,1045.78,,,,
X,3499,31,,1002.1,,,,
X,3500,11,,1034.32,,,,
X,3502,36,,954.7,,,,
X,3506,36,,1057.48,,,,
X,3543,52,,1017.02,,,,
X,3545,31,,1096.64,,,,
X,3546,31,,1057.46,,,,
X,3547,31,,1030.44,,,,
X,3549,52,,969.48,,,,
X,3550,36,,1010.6,,,,
X,3551,36,,1034.32,,,,
X,3552,31,,1034.32,,,,
X,3553,36,,954.7,,,,
X,3554,31,,1034.32,,,,
X,3555,36,,1034.32,,,,
X,3556,36,,954.7,,,,
X,3557,36,,974.1,,,,
X,3558,52,,1057.46,,,,
X,3559,11,,974.1,,,,
X,3568,31,,1029.08,,,,
X,3570,52,,997.88,,,,
X,3571,36,,1149.88,,,,
X,3574,36,,1149.88,,,,
X,3611,36,,1034.32,,,,
X,3613,52,,1017,,,,
X,3614,36,,974.08,,,,
X,3615,36,,1135.98,,,,
X,3616,31,,1041.24,,,,
X,3617,31,,965.2,,,,
X,3619,52,,1012.72,,,,
X,3620,52,,1091.1,,,,
X,3621,36,,1149.88,,,,
X,3622,52,,1149.88,,,,
X,3623,36,,1102.58,,,,
X,3624,52,,1066.62,,,,
X,3625,31,,1020.2,,,,
X,3626,36,,974.06,,,,
X,3627,31,,1098.54,,,,
X,3628,36,,962.06,,,,
X,3629,36,,1098.54,,,,
X,3685,36,,1034.34,,,,
X,3686,31,,1029.5,,,,
X,3687,31,,1034.34,,,,
X,3689,11,,0,,,,
X,3689,52,,1034.34,,,,
X,3690,36,,966.32,,,,
X,3691,31,,1017.04,,,,
X,3692,52,,1017.04,,,,
X,3693,36,,974.02,,,,
X,3694,52,,1017.04,,,,
X,3695,31,,1034.34,,,,
X,3696,31,,0,,,,
X,3696,52,,969.48,,,,
X,3697,52,,965.16,,,,
X,3698,31,,1041.3,,,,
X,3750,36,,1002.04,,,,
X,3753,52,,1034.76,,,,
X,3754,36,,974.02,,,,
X,3755,31,,974.02,,,,
X,3756,31,,1052.2,,,,
X,3758,11,,1009.06,,,,
X,3759,52,,1030.42,,,,
X,3760,36,,1031.22,,,,
X,3761,31,,728.26,,,,
X,3762,11,,0,,,,
X,3762,52,,1029.48,,,,
X,3763,31,,1017.04,,,,
X,3764,36,,1045.6,,,,
X,3765,52,,1057.4,,,,
X,3776,31,,1029.04,,,,
X,3777,52,,1032.02,,,,
X,3778,36,,1002.04,,,,
X,3780,11,,1021.22,,,,
X,3781,52,,1017.04,,,,
X,3782,36,,1098.52,,,,
X,3784,52,,1029.02,,,,
X,3785,36,,1034.32,,,,
X,3786,36,,1021.22,,,,
X,3787,31,,1021.22,,,,
X,3789,11,,1021.22,,,,
X,3790,11,,1021.22,,,,
X,3792,52,,763.04,,,,
X,3831,36,,969.46,,,,
X,3832,52,,1009.06,,,,
X,3833,36,,1100.96,,,,
X,3834,11,,1009.06,,,,
X,3836,11,,974.02,,,,
X,3837,31,,966.3,,,,
X,3838,36,,1021.2,,,,
X,3839,31,,1017.02,,,,
X,3855,31,,974.02,,,,
X,3860,52,,1021.18,,,,
X,3896,36,,1078.38,,,,
X,3900,52,,1043.32,,,,
X,3901,31,,1036.36,,,,
X,3902,52,,1056.32,,,,
X,3903,31,,1043.32,,,,
X,3904,36,,974.02,,,,
X,3905,36,,974.02,,,,
X,3906,36,,966.26,,,,
X,3907,31,,1045.56,,,,
X,3908,36,,1021.14,,,,
X,3970,36,,1021.12,,,,
X,3971,52,,1017,,,,
