VARIABLE	 PARCEL	coord_ID	 DEPOT	 VALUE	LAT 	LON
X	2216	2539	36	1007.3	28.7177	-98.3598
X	2221	2545	36	1094.44	28.7177	-98.2998
X	2277	2607	52	745.88	28.7077	-98.2898
X	2278	2608	52	843.82	28.7077	-98.2798
X	2279	2609	52	745.82	28.7077	-98.2698
X	2280	2610	52	937.7	28.7077	-98.2598
X	2282	2612	36	1099.24	28.7077	-98.2398
X	2283	2613	52	865.3	28.7077	-98.2298
X	2284	2614	44	942.88	28.7077	-98.2198
X	2285	2615	31	974.18	28.7077	-98.2098
X	2287	2617	52	934.24	28.6977	-98.7898
X	2288	2618	44	924.78	28.6977	-98.7798
X	2289	2619	36	971.66	28.6977	-98.7698
X	2290	2621	36	971.66	28.6977	-98.7498
X	2291	2622	36	971.66	28.6977	-98.7398
X	2348	2684	44	902.18	28.6877	-98.7098
X	2349	2685	44	902.18	28.6877	-98.6998
X	2350	2686	44	902.18	28.6877	-98.6898
X	2351	2687	44	915.1	28.6877	-98.6798
X	2352	2688	31	977.94	28.6877	-98.6698
X	2425	2765	31	1000.6	28.6777	-98.4598
X	2426	2766	44	1050.9	28.6777	-98.4498
X	2427	2767	36	937.82	28.6777	-98.4398
X	2428	2768	36	937.8	28.6777	-98.4298
X	2429	2769	36	937.8	28.6777	-98.4198
X	2433	2773	36	1050.9	28.6777	-98.3798
X	2487	2831	36	1004.26	28.6677	-98.3498
X	2488	2832	44	1050.9	28.6677	-98.3398
X	2489	2833	36	1004.26	28.6677	-98.3298
X	2490	2835	36	716.04	28.6677	-98.3098
X	2491	2836	44	1000.58	28.6677	-98.2998
X	2492	2837	31	716.04	28.6677	-98.2898
X	2493	2838	7	938.26	28.6677	-98.2798
X	2494	2839	36	843.78	28.6677	-98.2698
X	2495	2840	31	879.32	28.6577	-98.7998
X	2496	2841	58	879.32	28.6577	-98.7898
X	2498	2843	44	879.32	28.6577	-98.7698
X	2499	2846	36	988.76	28.6577	-98.7398
X	2500	2847	36	988.76	28.6577	-98.7298
X	2501	2848	31	988.76	28.6577	-98.7198
X	2505	2853	36	945.5	28.6577	-98.6698
X	2557	2912	36	1045.9	29.3974	-98.1701
X	2558	2914	36	1034.68	29.3974	-98.1501
