VARIABLE, PARCEL, DEPOT, PLANT, VALUE
Z,190,,1,1055.82
Z,258,,1,1039.34
Z,2592,,1,1002.28
Z,2593,,1,1057.6
Z,2628,,1,1002.28
Z,2645,,1,1045.88
Z,2647,,1,1017.26
Z,2648,,1,1140.94
Z,2649,,1,1002.26
Z,2666,,1,1002.22
Z,2667,,1,1140.94
Z,2668,,1,1140.94
Z,2669,,1,1140.94
Z,2670,,1,1140.94
Z,2693,,1,1140.96
Z,2694,,1,1140.96
Z,2695,,1,1140.96
Z,2696,,1,1140.96
Z,2723,,1,1002.22
Z,2724,,1,1140.94
Z,2725,,1,1140.94
Z,2726,,1,1140.94
Z,2727,,1,1140.94
Z,2728,,1,1140.94
Z,2729,,1,1140.94
Z,2753,,1,1029.18
Z,2754,,1,1140.92
Z,2755,,1,1140.92
Z,2786,,1,1029.18
Z,2787,,1,1140.92
Z,2788,,1,1140.92
Z,2789,,1,1140.92
Z,2790,,1,1140.92
Z,2791,,1,1140.92
Z,2822,,1,1140.92
Z,2823,,1,1140.92
Z,2824,,1,1140.92
Z,2825,,1,1140.92
Z,2826,,1,1140.92
Z,2827,,1,1140.92
Z,2828,,1,1140.92
Z,2829,,1,1140.92
Z,2830,,1,1140.92
Z,2864,,1,1029.16
Z,2865,,1,1029.16
Z,2866,,1,1140.92
Z,2867,,1,1140.92
Z,2868,,1,1140.92
Z,2869,,1,1140.92
Z,2870,,1,1140.92
Z,2871,,1,1140.92
Z,2904,,1,962.1
Z,2905,,1,962.1
Z,2906,,1,1140.92
Z,2907,,1,1140.92
Z,2944,,1,990.24
Z,2945,,1,1096.74
Z,2946,,1,1057.6
Z,2947,,1,1029.14
Z,2948,,1,1029.14
Z,2949,,1,1140.9
Z,2950,,1,1140.9
Z,2951,,1,1140.9
Z,2952,,1,1140.9
Z,2953,,1,1140.9
Z,2954,,1,1140.9
Z,2955,,1,1140.9
Z,2956,,1,1140.9
Z,2957,,1,1140.9
Z,2993,,1,1034.04
Z,2995,,1,1031.34
Z,2996,,1,1023.22
Z,2997,,1,1029.12
Z,2998,,1,1041.38
Z,2999,,1,1140.86
Z,3000,,1,1140.86
Z,3001,,1,1140.86
Z,3002,,1,1140.86
Z,3037,,1,1030.52
Z,3038,,1,1002.14
Z,3039,,1,1030.52
Z,3040,,1,1041.38
Z,3041,,1,1140.86
Z,3042,,1,1140.86
Z,3043,,1,1140.86
Z,3044,,1,1140.86
Z,3045,,1,1140.86
Z,3046,,1,1140.86
Z,3047,,1,1140.86
Z,3086,,1,1101.12
Z,3087,,1,1009.08
Z,3088,,1,1009.08
Z,3089,,1,1031.36
Z,3090,,1,1140.86
Z,3091,,1,1140.86
Z,3092,,1,1140.86
Z,3093,,1,1140.86
Z,3131,,1,1050.24
Z,3135,,1,1050.24
Z,3136,,1,1101.14
Z,3137,,1,1030.54
Z,3138,,1,1030.54
Z,3139,,1,1140.86
Z,3140,,1,1140.86
Z,3141,,1,1140.86
Z,3177,,1,1018.36
Z,3178,,1,1140.86
Z,3179,,1,1140.86
Z,3180,,1,1098.58
Z,3181,,1,1098.58
Z,3182,,1,1098.58
Z,3183,,1,990.94
Z,3184,,1,1010.6
Z,3185,,1,1010.6
Z,3186,,1,1101.14
Z,3187,,1,1101.14
Z,3188,,1,1140.86
Z,3227,,1,1140.86
Z,3228,,1,1096.66
Z,3229,,1,1002.1
Z,3230,,1,1002.1
Z,3231,,1,1078.34
Z,3232,,1,1008.4
Z,3233,,1,974.14
